Title,Price,Location_Category,Link,Member
"HP Elitebook 640 G9 core i5 12th Gen 16GB RAM 256GB NVMe 14"" used laptop","Rs 125,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-elitebook-640-g9-core-i5-12th-gen-16gb-ram-256gb-nvme-14-used-laptop-for-sale-colombo-7,True
HP 15.6 inch G10 Notebook,"Rs 115,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-156-inch-g10-notebook-for-sale-colombo,False
"Asus Vivobook S14 Flip -ULTRA 7 -OLED X360 Touch +16GB RAM -New Laptop,","Rs 324,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-s14-flip-ultra-7-oled-x360-touch-16gb-ram-new-laptop-for-sale-colombo-7,True
i5 4th gen | GTX 1060 6GB PC,"Rs 60,000","Puttalam, Computers & Tablets",https://ikman.lk/en/ad/i5-4th-gen-gtx-1060-6gb-pc-for-sale-puttalam,False
Dekstop pc,"Rs 60,000","Puttalam, Computers & Tablets",https://ikman.lk/en/ad/dekstop-pc-for-sale-puttalam,False
Dell Latitude 5420 Core i7 11th GEN 8GB RAM + 256GB SSD laptop,"Rs 105,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-5420-core-i7-11th-gen-8gb-ram-256gb-ssd-laptop-for-sale-colombo-2,True
ACER i5-11th GEN LAP TOP,"Rs 81,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/acer-i5-11th-gen-lap-top-for-sale-colombo,True
Core i5 2nd Gen|4GB RAM|500GB HDD used Samsung Desktop PC,"Rs 17,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/core-i5-2nd-gen4gb-ram500gb-hdd-used-samsung-desktop-pc-for-sale-colombo-34,True
HP 250 G7 Celeron 500GB Laptop,"Rs 44,500","Kegalle, Computers & Tablets",https://ikman.lk/en/ad/hp250-g7-celeron-500gb-hard-brand-new-condition-for-sale-kegalle,False
LENOVO ThinkPad X1 Carbon Touch i7 8th Gen Laptop 16GB Ram 512GB SSD,"Rs 125,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-thinkpad-x1-carbon-touch-i7-8th-gen-laptop-16gb-ram-512gb-ssd-for-sale-colombo-2,True
Dell Latitude 7420 Core i7 1185G7–11th Gen 16GB RAM 512GB NVMe,"Rs 127,990","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-7420-core-i7-1185g7-11th-gen-16gb-ram-512gb-nvme-for-sale-colombo,True
Core i5 6TH Gen Desktop Pc 4 Gb Ram 500 HDD,"Rs 34,500","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/core-i5-6th-gen-desktop-pc-4-gb-ram-500-hdd-for-sale-gampaha,True
I3 8th Gen (4gb Ram 256gb Nvme),"Rs 38,990","Colombo, Computers & Tablets",https://ikman.lk/en/ad/i3-8th-gen-4gb-ram-256gb-nvme-for-sale-colombo,False
HP EliteBook Core i7 16GB RAM 512GB SSD,"Rs 90,000","Kandy, Computers & Tablets",https://ikman.lk/en/ad/hp-elitebook-core-i7-16gb-ram-512gb-ssd-for-sale-kandy,False
HP EliteBook 840 G6 i5 8th Gen 32GB RAM 256GB SSD,"Rs 128,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-elitebook-840-g6-i5-8th-gen-32gb-ram-256gb-ssd-for-sale-colombo,False
Core i3 6TH GEN Desktop PC - 4GB RAM 500GB HDD,"Rs 28,900","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/core-i3-6th-gen-desktop-pc-4gb-ram-500gb-hdd-for-sale-gampaha-1,True
Apple iPad Pro Tablet,"Rs 158,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/ipad-pro-2020-for-sale-colombo-1,False
Hp I3 Laptop,"Rs 18,000","Batticaloa, Computers & Tablets",https://ikman.lk/en/ad/good-condition-more-details-call-me-for-sale-batticaloa,False
Ryzen 5 Pro Elitebook 845 G8 16GB RAM DDR4 512GB SSD NVMe,"Rs 119,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/ryzen-5-pro-elitebook-845-g8-16gb-ram-ddr4-512gb-ssd-nvme-for-sale-colombo,True
Lenovo Thinkpad L14 Ryzen 3 Pro 4450U with Radeon 512MB VGA 16GB,"Rs 79,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-thinkpad-l14-ryzen-3-pro-4450u-with-radeon-512mb-vga-16gb-for-sale-colombo,True
Dell Latitude 7490 i5 Laptop,"Rs 74,500","Jaffna, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-7490-i5-laptop-for-sale-jaffna,True
HP 13th Gen Laptop,"Rs 140,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/hp-13th-gen-for-sale-gampaha,False
"Core i5 9th Gen (8GB RAM|500GB HDD) Computer (Full Set PC) 17"" - 24""","Rs 44,950","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/core-i5-9th-gen-8gb-ram500gb-hdd-computer-full-set-pc-17-24-for-sale-gampaha,True
PROBOOK 640 G8 i5 11th Gen 16GB with Backlit Keyboard,"Rs 97,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/probook-640-g8-i5-11th-gen-16gb-with-backlit-keyboard-for-sale-colombo,True
"ASUS Vivobook CORE I5 13TH GEN 12GB RAM 256GB SSD 14"" BRAND NEW Laptop","Rs 157,900","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-core-i5-13th-gen-12gb-ram-256gb-ssd-14-brand-new-laptop-for-sale-colombo-41,True
"Core i5 10th Gen (8GB RAM|500GB HDD) Computer (Full Set PC) 17"" - 24""","Rs 47,950","Colombo, Computers & Tablets",https://ikman.lk/en/ad/core-i5-10th-gen-8gb-ram500gb-hdd-computer-full-set-pc-17-24-for-sale-colombo,True
HP EliteBook 840 G8 i5 11th Gen 8GB RAM 256GB NVMe Laptop,"Rs 99,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-elitebook-840-g8-i5-11th-gen-8gb-ram-256gb-nvme-laptop-for-sale-colombo-19,True
New ASUS TUF A16 RTX 4050 6GB Ryzen 7 7445HS Laptop 16GB / FA607N,"Rs 315,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/new-asus-tuf-a16-rtx-4050-6gb-ryzen-7-7445hs-laptop-16gb-fa607n-for-sale-colombo,True
"HP PROBOOK 640 G8 CORE i5 11TH GEN 8GB RAM 256GB NVMe 14"" USED LAPTOP","Rs 98,900","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-probook-640-g8-core-i5-11th-gen-8gb-ram-256gb-nvme-14-used-laptop-for-sale-colombo-21,True
HP 13th Gen Laptop,"Rs 140,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/hp-13th-gen-for-sale-gampaha,False
"Core i5 9th Gen (8GB RAM|500GB HDD) Computer (Full Set PC) 17"" - 24""","Rs 44,950","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/core-i5-9th-gen-8gb-ram500gb-hdd-computer-full-set-pc-17-24-for-sale-gampaha,True
PROBOOK 640 G8 i5 11th Gen 16GB with Backlit Keyboard,"Rs 97,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/probook-640-g8-i5-11th-gen-16gb-with-backlit-keyboard-for-sale-colombo,True
"ASUS Vivobook CORE I5 13TH GEN 12GB RAM 256GB SSD 14"" BRAND NEW Laptop","Rs 157,900","Colombo, Computers & Tablets",https://ikman.lk/en/ad/asus-vivobook-core-i5-13th-gen-12gb-ram-256gb-ssd-14-brand-new-laptop-for-sale-colombo-41,True
